LOD entries,Base forms,Grammatical category
MADAMM1,Madamm,feminine noun
MAERZ1,Mäerz,masculine noun
MAM2,mam,
MAMM1,Mamm,feminine noun
MAMMA1,Mamma,feminine noun
MAMMENDAG1,Mammendag,masculine noun
MANGO1,Mango,feminine noun
MANN1,Mann,masculine noun
MANNST1,mannst,indefinite pronoun
MARMERKUCH1,Marmerkuch,masculine noun
MAT1,mat,preposition
MATGOEN1,matgoen,verb
MATHUELEN1,mathuelen,verb
MAYONNAISE1,Mayonnaise,feminine noun
MECANICIEN1,Mecanicien,masculine noun
MECANICIENNE1,Mecanicienne,feminine noun
MEDIKAMENT1,Medikament,neutral noun
MEE1,Mee,masculine noun
MEE2,mee,conjunction
MEEDCHEN1,Meedchen,neutral noun
MEI1,méi,adverb
MEI3,méi,indefinite pronoun
MEINDEG1,Méindeg,masculine noun
MEINDES1,méindes,adverb
MELLECH1,Mëllech,feminine noun
MELOUN1,Meloun,feminine noun
MENGEN1,mengen,verb
MENU1,Menü,masculine noun
MERCI2,merci,interjection
MESCHEN1,mëschen,verb
METSCH1,Mëtsch,feminine noun
METT1,Mëtt,feminine noun
METTEG1,Mëtteg,masculine noun
METTEGIESSEN1,Mëttegiessen,neutral noun
METTES1,mëttes,adverb
METTESPAUS1,Mëttespaus,feminine noun
METTWOCH1,Mëttwoch,masculine noun
METTWOCHS1,mëttwochs,adverb
METTWURSCHT1,Mettwurscht,feminine noun
METZLER1,Metzler,masculine noun
METZLESCH1,Metzlesch,feminine noun
MICKYMAUS1,Mickymaus,feminine noun
MIDD1,midd,adjective
MIEL1,Miel,neutral noun
MIKROWELL1,Mikrowell,feminine noun
MINETT1,Minett,feminine noun
MINIGOLF1,Minigolf,masculine noun
MINUS3,minus,adverb
MINUTT1,Minutt,feminine noun
MOIEN1,Moien,masculine noun
MOIEN2,moien,interjection
MOIES1,moies,adverb
MOL1,Mol,neutral noun
MOLEN1,molen,verb
MOLZECHT1,Molzecht,feminine noun
MOMENT1,Moment,masculine noun
MONITEUR1,Moniteur,masculine noun
MONITRICE1,Monitrice,feminine noun
MONNI1,Monni,masculine noun
MONSIEUR1,Monsieur,masculine noun
MOTO1,Moto,masculine noun
MOUNT1,Mount,masculine noun
MUER1,muer,adverb
MUERT1,Muert,feminine noun
MUSEE1,Musée,masculine noun
MUSEK1,Musek,feminine noun
MUSEKER1,Museker,masculine noun
MUSEKERIN1,Musekerin,feminine noun
MUSKAT1,Muskat,masculine noun
MUSKOT1,Muskot,masculine noun
MUSLI1,Müsli,masculine noun
MUSSEN1,mussen,modal verb
MUUSLI1,Müüsli,masculine noun
NACH1,nach,adverb
NATIERLECH2,natierlech,adverb
NATIONALFEIERDAG1,Nationalfeierdag,proper noun
NEE1,nee,particle
NEI1,nei,adjective
NEMMEN1,nëmmen,adverb
NET1,net,particle
NEVEU1,Neveu,masculine noun
NIESS1,Niess,feminine noun
NIWWELEG1,niwweleg,adjective
NO1,no,preposition
NOMETTES1,nomëttes,adverb
NOPER1,Noper,masculine noun
NOPESCH1,Nopesch,feminine noun
NORDEN1,Norden,masculine noun
NORIICHT1,Noriicht,feminine noun
NORMALERWEIS1,normalerweis,adverb
NOSS1,Noss,feminine noun
NOTEIEREN1,notéieren,verb
NOVEMBER1,November,masculine noun
NUDDEL1,Nuddel,feminine noun
NUECHT1,Nuecht,feminine noun
NUECHTIESSEN1,Nuechtiessen,neutral noun
NUES1,Nues,feminine noun
NUMM1,Numm,masculine noun
NUMMER1,Nummer,feminine noun
O1,o,interjection
OCH1,och,adverb
ODER2,oder,conjunction
OFFIZIELL1,offiziell,adjective
OFSCHMAACHEN1,ofschmaachen,verb
OFT1,oft,adverb
OK1,ok,particle
OKTOBER1,Oktober,masculine noun
OLIVENUELEG1,Olivenueleg,masculine noun
ONSERIO1,onseriö,adjective
ONSPORTLECH1,onsportlech,adjective
ONSYMPATHESCH1,onsympathesch,adjective
OP2,op,preposition
OPHALEN1,ophalen,verb
ORANGE1,Orange,feminine noun
OSTEN1,Osten,masculine noun
OUER1,Ouer,neutral noun
OUSCHTEREN2,Ouschteren,neutral noun
OWEND1,Owend,masculine noun
OWES1,owes,adverb
PACSEN1,pacsen,verb
PAISCHTMEINDEG1,Päischtméindeg,masculine noun
PAISCHTSONNDEG1,Päischtsonndeg,masculine noun
PAK1,Pak,masculine noun
PAN1,Pan,feminine noun
PAPP1,Papp,masculine noun
PAPPENDAG1,Pappendag,masculine noun
PAPRIKA2,Paprika,masculine/feminine noun
PASCHTEIT1,Paschtéit,feminine noun
PASTILL1,Pastill,feminine noun
PATIENT1,Patient,masculine noun
PATIENTIN1,Patientin,feminine noun
PEFFER1,Peffer,masculine noun
PERSOUN1,Persoun,feminine noun
PETZI1,Petzi,masculine noun
PICKNICKEN1,picknicken,verb
PILOT1,Pilot,masculine noun
PILOTIN1,Pilotin,feminine noun
PIZZA1,Pizza,feminine noun
PLAGE1,Plage,feminine noun
PLAT1,Plat,masculine noun
PLATTDRECKEN1,plattdrécken,verb
PLENNEREN2,plënneren,verb
